Array_size,Time,Times_to_run,Element_size_range
17700,319.73814964294434,3,1000
17800,318.30549240112305,3,1000
17900,322.3402500152588,3,1000
18000,314.8465156555176,3,1000
18100,334.0146541595459,3,1000
18200,375.6711483001709,3,1000
18300,335.8268737792969,3,1000
18400,328.7687301635742,3,1000
18500,336.32755279541016,3,1000
18600,340.1327133178711,3,1000
18700,351.8345355987549,3,1000
18800,343.87993812561035,3,1000
18900,393.8593864440918,3,1000
19000,335.6771469116211,3,1000
19100,356.14657402038574,3,1000
19200,355.5407524108887,3,1000
19300,348.313570022583,3,1000
19400,357.24854469299316,3,1000
19500,366.666316986084,3,1000
19600,357.0213317871094,3,1000
19700,363.54756355285645,3,1000
19800,357.55133628845215,3,1000
19900,363.07334899902344,3,1000
20000,357.26189613342285,3,1000
20100,364.93849754333496,3,1000
20200,367.53273010253906,3,1000
20300,375.3705024719238,3,1000
20400,378.24058532714844,3,1000
20500,407.0155620574951,3,1000
20600,368.0548667907715,3,1000
20700,398.7741470336914,3,1000
20800,417.36388206481934,3,1000
20900,386.7166042327881,3,1000
21000,377.41971015930176,3,1000
21100,430.0854206085205,3,1000
21200,415.7752990722656,3,1000
21300,390.03753662109375,3,1000
21400,397.8750705718994,3,1000
21500,381.1659812927246,3,1000
21600,447.71671295166016,3,1000
21700,400.48861503601074,3,1000
21800,410.69769859313965,3,1000
21900,416.5060520172119,3,1000
22000,426.93614959716797,3,1000
22100,450.98233222961426,3,1000
22200,397.11713790893555,3,1000
22300,400.4652500152588,3,1000
22400,410.2027416229248,3,1000
22500,427.72960662841797,3,1000
22600,422.57237434387207,3,1000
22700,496.2172508239746,3,1000
22800,426.9697666168213,3,1000
22900,438.0669593811035,3,1000
23000,416.0797595977783,3,1000
23100,417.50192642211914,3,1000
23200,429.90612983703613,3,1000
23300,464.5695686340332,3,1000
23400,447.6053714752197,3,1000
23500,447.9966163635254,3,1000
23600,480.3431034088135,3,1000
23700,520.5960273742676,3,1000
23800,429.675817489624,3,1000
23900,447.7732181549072,3,1000
24000,466.9530391693115,3,1000
24100,432.6348304748535,3,1000
24200,457.92508125305176,3,1000
24300,497.3161220550537,3,1000
24400,449.7694969177246,3,1000
24500,480.1177978515625,3,1000
24600,457.52835273742676,3,1000
24700,449.9402046203613,3,1000
24800,449.66864585876465,3,1000
24900,468.4481620788574,3,1000
25000,473.38008880615234,3,1000
25100,483.0045700073242,3,1000
25200,480.84187507629395,3,1000
25300,494.2319393157959,3,1000
25400,468.29915046691895,3,1000
25500,478.7282943725586,3,1000
25600,463.1493091583252,3,1000
25700,478.99866104125977,3,1000
25800,470.44873237609863,3,1000
25900,482.23018646240234,3,1000
26000,530.5533409118652,3,1000
26100,508.97955894470215,3,1000
26200,500.0109672546387,3,1000
26300,497.5547790527344,3,1000
26400,507.3378086090088,3,1000
26500,508.87465476989746,3,1000
26600,525.2487659454346,3,1000
26700,508.5299015045166,3,1000
26800,501.3144016265869,3,1000
26900,509.27019119262695,3,1000
27000,522.4215984344482,3,1000
27100,498.8555908203125,3,1000
27200,580.1730155944824,3,1000
27300,500.67734718322754,3,1000
27400,509.113073348999,3,1000
27500,529.3395519256592,3,1000
27600,529.9510955810547,3,1000
27700,510.8499526977539,3,1000
27800,530.2820205688477,3,1000
27900,519.9129581451416,3,1000
28000,525.9795188903809,3,1000
28100,553.9557933807373,3,1000
28200,541.6457653045654,3,1000
28300,519.1812515258789,3,1000
28400,537.297248840332,3,1000
28500,520.3979015350342,3,1000
28600,536.5028381347656,3,1000
28700,549.576997756958,3,1000
28800,567.2280788421631,3,1000
28900,542.4594879150391,3,1000
29000,551.2897968292236,3,1000
29100,551.6681671142578,3,1000
29200,571.6197490692139,3,1000
29300,583.8425159454346,3,1000
29400,568.4998035430908,3,1000
29500,612.3394966125488,3,1000
29600,583.6055278778076,3,1000
29700,572.5328922271729,3,1000
29800,578.9062976837158,3,1000
29900,591.5689468383789,3,1000
30000,561.7012977600098,3,1000
30100,555.711030960083,3,1000
30200,561.2165927886963,3,1000
30300,592.3333168029785,3,1000
30400,611.3293170928955,3,1000
30500,592.5254821777344,3,1000
30600,609.3590259552002,3,1000
30700,601.6292572021484,3,1000
30800,576.2937068939209,3,1000
30900,578.0472755432129,3,1000
31000,605.6594848632812,3,1000
31100,619.5378303527832,3,1000
31200,598.1900691986084,3,1000
31300,579.0591239929199,3,1000
31400,648.1842994689941,3,1000
31500,609.4872951507568,3,1000
31600,597.0373153686523,3,1000
31700,602.531909942627,3,1000
31800,612.1740341186523,3,1000
31900,641.7806148529053,3,1000
32000,616.8155670166016,3,1000
32100,638.6401653289795,3,1000
32200,617.2807216644287,3,1000
32300,701.5585899353027,3,1000
32400,639.2912864685059,3,1000
32500,764.6434307098389,3,1000
32600,663.6323928833008,3,1000
32700,642.2085762023926,3,1000
32800,623.5833168029785,3,1000
32900,628.6289691925049,3,1000
33000,684.2877864837646,3,1000
33100,656.2018394470215,3,1000
33200,624.0246295928955,3,1000
33300,681.4796924591064,3,1000
33400,655.6963920593262,3,1000
33500,702.0375728607178,3,1000
33600,690.690279006958,3,1000
33700,650.5429744720459,3,1000
33800,684.0758323669434,3,1000
33900,654.0117263793945,3,1000
34000,709.174633026123,3,1000
34100,697.5197792053223,3,1000
34200,660.3155136108398,3,1000
34300,681.8175315856934,3,1000
34400,683.2878589630127,3,1000
34500,701.9217014312744,3,1000
34600,674.8192310333252,3,1000
34700,704.3445110321045,3,1000
34800,671.3910102844238,3,1000
34900,662.1379852294922,3,1000
35000,694.1590309143066,3,1000
35100,700.6707191467285,3,1000
35200,685.3845119476318,3,1000
35300,736.6847991943359,3,1000
35400,663.4829044342041,3,1000
35500,732.0826053619385,3,1000
35600,678.962230682373,3,1000
35700,686.0167980194092,3,1000
35800,685.1658821105957,3,1000
35900,732.7065467834473,3,1000
36000,818.94850730896,3,1000
36100,748.7258911132812,3,1000
36200,733.2377433776855,3,1000
36300,736.3262176513672,3,1000
36400,730.5281162261963,3,1000
36500,696.664571762085,3,1000
36600,693.9024925231934,3,1000
36700,791.8744087219238,3,1000
36800,867.9935932159424,3,1000
36900,791.3341522216797,3,1000
37000,704.5459747314453,3,1000
37100,738.4994029998779,3,1000
37200,792.68479347229,3,1000
37300,818.5651302337646,3,1000
37400,774.7430801391602,3,1000
37500,737.2298240661621,3,1000
37600,753.3824443817139,3,1000
37700,769.3624496459961,3,1000
37800,768.1605815887451,3,1000
37900,723.658561706543,3,1000
38000,827.4576663970947,3,1000
38100,787.3010635375977,3,1000
38200,764.502763748169,3,1000
38300,813.258171081543,3,1000
38400,727.9865741729736,3,1000
38500,769.9854373931885,3,1000
38600,774.3451595306396,3,1000
38700,799.191951751709,3,1000
38800,798.8169193267822,3,1000
38900,757.500171661377,3,1000
39000,742.0017719268799,3,1000
39100,787.1932983398438,3,1000
39200,881.0350894927979,3,1000
39300,742.5727844238281,3,1000
39400,815.8280849456787,3,1000
39500,830.0216197967529,3,1000
39600,876.2495517730713,3,1000
39700,841.8490886688232,3,1000
39800,784.5799922943115,3,1000
39900,860.637903213501,3,1000
40000,825.514554977417,3,1000
40100,807.3403835296631,3,1000
40200,821.5517997741699,3,1000
40300,770.7395553588867,3,1000
40400,776.9598960876465,3,1000
40500,854.0184497833252,3,1000
40600,799.0603446960449,3,1000
40700,824.3799209594727,3,1000
40800,786.3919734954834,3,1000
40900,785.090446472168,3,1000
41000,797.6334095001221,3,1000
41100,840.7044410705566,3,1000
41200,833.2698345184326,3,1000
41300,858.9942455291748,3,1000
41400,835.9858989715576,3,1000
41500,872.2178936004639,3,1000
41600,834.9430561065674,3,1000
41700,865.7553195953369,3,1000
41800,829.0116786956787,3,1000
41900,846.0016250610352,3,1000
42000,826.4613151550293,3,1000
42100,832.648754119873,3,1000
42200,830.8765888214111,3,1000
42300,826.3862133026123,3,1000
42400,837.536096572876,3,1000
42500,833.6918354034424,3,1000
42600,837.2178077697754,3,1000
42700,938.7624263763428,3,1000
42800,924.7827529907227,3,1000
42900,870.1109886169434,3,1000
43000,861.2580299377441,3,1000
43100,892.9502964019775,3,1000
43200,845.6244468688965,3,1000
43300,849.8201370239258,3,1000
43400,865.5073642730713,3,1000
43500,918.2021617889404,3,1000
