Array_size,Time,Times_to_run,Element_size_range
6700,2.8161999583244324,3,1000
6800,2.086300015449524,3,1000
6900,2.116200029850006,3,1000
7000,2.024399995803833,3,1000
7100,1.8220000267028809,3,1000
7200,1.5985000133514404,3,1000
7300,1.8056000471115112,3,1000
7400,1.5260000228881836,3,1000
7500,1.461899995803833,3,1000
7600,1.6259999871253967,3,1000
7700,1.5719000101089478,3,1000
7800,1.3747999668121338,3,1000
7900,1.3958999514579773,3,1000
8000,1.555899977684021,3,1000
8100,1.4060999751091003,3,1000
8200,1.42330002784729,3,1000
8300,1.8996999859809875,3,1000
8400,2.347100019454956,3,1000
8500,1.7577999830245972,3,1000
8600,2.5248000025749207,3,1000
8700,2.5223999619483948,3,1000
8800,1.8446999788284302,3,1000
8900,1.8224000334739685,3,1000
9000,1.896399974822998,3,1000
9100,1.923799991607666,3,1000
9200,2.2240999937057495,3,1000
9300,1.9721999764442444,3,1000
9400,2.0471999645233154,3,1000
9500,2.048900008201599,3,1000
9600,2.059000015258789,3,1000
9700,2.1756999492645264,3,1000
9800,1.8860999941825867,3,1000
9900,1.9620000123977661,3,1000
10000,1.8727999925613403,3,1000
10100,1.888800024986267,3,1000
10200,2.119099974632263,3,1000
10300,1.932800054550171,3,1000
10400,2.181100010871887,3,1000
10500,2.0089000463485718,3,1000
10600,2.0092999935150146,3,1000
10700,2.046999990940094,3,1000
10800,2.1167999505996704,3,1000
10900,2.099900007247925,3,1000
11000,2.1284000277519226,3,1000
11100,2.1545000076293945,3,1000
11200,2.170699954032898,3,1000
11300,2.487999975681305,3,1000
11400,2.2174999713897705,3,1000
11500,2.4847999811172485,3,1000
11600,2.263800024986267,3,1000
11700,2.520699977874756,3,1000
11800,2.353100001811981,3,1000
11900,2.3341999650001526,3,1000
12000,2.3578999638557434,3,1000
12100,2.412000000476837,3,1000
12200,2.666100025177002,3,1000
12300,2.4221999645233154,3,1000
12400,2.4472999572753906,3,1000
12500,2.463599979877472,3,1000
12600,2.4828999638557434,3,1000
12700,2.750599980354309,3,1000
12800,2.565400004386902,3,1000
12900,2.526700019836426,3,1000
13000,2.555999994277954,3,1000
13100,2.7215999960899353,3,1000
13200,2.858900010585785,3,1000
13300,2.5454999804496765,3,1000
13400,2.5582000017166138,3,1000
13500,2.8467000126838684,3,1000
13600,2.6493000388145447,3,1000
13700,2.6604999899864197,3,1000
13800,3.025600016117096,3,1000
13900,3.739799976348877,3,1000
14000,2.712499976158142,3,1000
14100,2.9645000100135803,3,1000
14200,3.6766000390052795,3,1000
14300,2.8183000087738037,3,1000
14400,2.7609999775886536,3,1000
14500,2.99099999666214,3,1000
14600,2.8008999824523926,3,1000
14700,2.79229998588562,3,1000
14800,2.804699957370758,3,1000
14900,2.823300004005432,3,1000
15000,2.8895999789237976,3,1000
15100,2.879100024700165,3,1000
15200,2.915000021457672,3,1000
15300,2.987399995326996,3,1000
15400,2.9735999703407288,3,1000
15500,2.902400016784668,3,1000
15600,2.9271000027656555,3,1000
15700,2.933899998664856,3,1000
15800,2.964200019836426,3,1000
15900,2.955299973487854,3,1000
16000,2.9681000113487244,3,1000
16100,3.000200033187866,3,1000
16200,2.9945000410079956,3,1000
16300,2.995799958705902,3,1000
16400,2.9990999698638916,3,1000
16500,3.024500012397766,3,1000
16600,3.193000018596649,3,1000
16700,3.0860999822616577,3,1000
16800,3.1538999676704407,3,1000
16900,3.1439000368118286,3,1000
17000,3.1920999884605408,3,1000
17100,3.214399993419647,3,1000
17200,3.2505000233650208,3,1000
17300,3.314899981021881,3,1000
17400,3.239299952983856,3,1000
17500,3.825500011444092,3,1000
17600,3.3707000017166138,3,1000
17700,3.462100028991699,3,1000
